,chemicalFormula Clean,index,Band gap values Clean,Reliability
0,Ag1Br1,808.5,3.4850000000000003,1.0
1,Ag1Cl1,793.5,4.1899999999999995,1.0
2,Ag1N3,783.0,3.9,1.0
3,Ag1Te1,820.0,0.85,1.0
4,Ag2O1,785.0,1.2,1.0
5,Ag2S1,789.5,0.95,1.0
6,Ag2Se1,803.0,0.13,1.0
7,Ag2Te1,819.0,0.064,1.0
8,Al1As1,164.5,2.5,1.0
9,Al1B1,146.0,0.82,1.0
10,Al1Bi1,184.0,0.4,1.0
11,Al1N1,149.0,5.74,1.0
12,Al1P1,159.0,2.45,1.0
13,Al1Sb1,177.5,1.919,1.0
14,Al2O3,153.5,9.7,1.0
15,Al2S3,163.0,4.1,1.0
16,Al2Se3,176.0,3.1,1.0
17,Al2Te3,181.0,2.5,1.0
18,As,644.0,1.2,1.0
19,As1Br3,661.0,2.6,1.0
20,As1I3,669.0,2.29,1.0
21,As1Se1,648.5,1.2149999999999999,1.0
22,As1Te1,663.0,0.74,1.0
23,As2O3,614.0,4.0,1.0
24,As2S3,616.0,2.43,1.0
25,As2S5,618.0,2.48,1.0
26,As2Se3,650.0,1.77,1.0
27,As2Te3,662.0,0.48,1.0
28,As4S4,617.0,2.4,1.0
29,B1,26.0,0.93,1.0
30,B1As1,47.0,1.46,1.0
31,B1N1,37.0,8.0,1.0
32,B1P1,42.0,2.0,1.0
33,B1Sb1,51.0,2.6,1.0
34,B2O3,40.0,7.0,1.0
35,Ba1F2,1065.0,9.06,1.0
36,Ba1O1,1062.0,5.13,1.0
37,Ba1S1,1066.0,3.88,1.0
38,Ba1Se1,1068.0,3.6,1.0
39,Ba1Te1,1070.0,3.4,1.0
40,Be1O1,16.5,10.48,1.0
41,Be1S1,22.0,4.17,1.0
42,Be1Se1,23.0,3.61,1.0
43,Be1Te1,25.0,2.89,1.0
44,Be3Sb2,24.0,0.67,1.0
45,Bi,1445.0,0.015,1.0
46,Bi1Br3,1411.0,2.66,1.0
47,Bi1I3,1437.5,1.9625,1.0
48,Bi2O3,1391.5,2.755,1.0
49,Bi2S3,1401.0,1.2,1.0
50,Bi2Se3,1406.0,0.21,1.0
51,Bi2Te3,1428.0,0.145,1.0
52,C,52.5,6.244999999999999,1.0
53,C1Br4,60.0,3.7,1.0
54,C1I4,61.0,2.26,1.0
55,Ca1B6,262.0,4.5,1.0
56,Ca1F2,270.0,10.0,1.0
57,Ca1I2,277.0,5.98,1.0
58,Ca1O1,265.0,7.7,1.0
59,Ca1S1,272.0,6.0,1.0
60,Ca1Se1,274.0,4.87,1.0
61,Ca1Te1,276.0,4.07,1.0
62,Ca2Pb1,278.0,0.46,1.0
63,Ca2Si1,271.0,1.9,1.0
64,Ca2Sn1,275.0,0.9,1.0
65,Cd1As2,858.0,1.0,1.0
66,Cd1Br2,874.0,4.47,1.0
67,Cd1Cl2,856.0,5.7,1.0
68,Cd1F2,835.0,6.0,1.0
69,Cd1I2,890.5,3.5615,1.0
70,Cd1In1,875.0,0.6,1.0
71,Cd1O1,832.5,1.75,1.0
72,Cd1P2,837.5,1.785,1.0
73,Cd1P4,841.0,1.0,1.0
74,Cd1S1,849.5,2.4175,1.0
75,Cd1Sb1,876.0,0.45,1.0
76,Cd1Sc1,866.0,1.714,1.0
77,Cd1Te1,886.0,1.517,1.0
78,Cd3As2,859.0,0.13,1.0
79,Cd3Bi2,900.0,0.2,1.0
80,Cd3P2,840.0,0.52,1.0
81,Cd4Sb3,877.0,1.25,1.0
82,Ce1F3,1090.0,4.85,1.0
83,Ce1N1,1085.0,0.7,1.0
84,Ce1O2,1086.0,2.68,1.0
85,Ce2S3,1091.0,1.12,1.0
86,Ce2Se3,1092.0,1.75,1.0
87,Ce2Te3,1095.0,1.4,1.0
88,Co1As2,378.0,0.15,1.0
89,Co1As3,379.0,0.25,1.0
90,Co1O1,372.0,0.47,1.0
91,Co1Si1,377.0,0.045,1.0
92,Co1Te1.88,380.0,0.2,1.0
93,Cr1O2,318.0,0.23,1.0
94,Cr1Sb1,328.0,0.2,1.0
95,Cr1Si2,322.0,0.35,1.0
96,Cr2O3,317.0,1.68,1.0
97,Cr2S3,323.0,0.9,1.0
98,Cr2Se3,325.0,0.025,1.0
99,Cr3Se4,324.0,0.015,1.0
100,CrTe,329.0,0.02,1.0
101,Cs1Bi2,1059.0,0.55,1.0
102,Cs1Br1,1046.0,7.18,1.0
103,Cs1Cl1,1042.0,8.1,1.0
104,Cs1F1,1040.0,10.0,1.0
105,Cs1I1,1055.0,6.37,1.0
106,Cs2Te1,1054.0,3.5,1.0
107,Cs3As1,1045.0,0.6,1.0
108,Cs3Bi1,1060.0,0.55,1.0
109,Cs3Sb1,1049.0,1.6,1.0
110,Cu1Br1,415.0,2.987,1.0
111,Cu1Cl1,410.0,3.306,1.0
112,Cu1I1,422.0,3.07,1.0
113,Cu1N3,391.0,4.17,1.0
114,Cu1P2,400.0,1.4,1.0
115,Cu2O1,393.0,2.023,1.0
116,Cu2S1,402.0,1.21,1.0
117,Cu2Se1,411.0,1.23,1.0
118,Cu2Te1,417.0,1.08,1.0
119,Dy1As1,1181.0,1.0,1.0
120,Dy1B6,1174.0,3.3,1.0
121,Dy1N1,1175.0,2.6,1.0
122,Dy2O3,1177.0,3.08,1.0
123,Dy2S3,1179.0,2.91,1.0
124,Er1B6,1185.0,3.5,1.0
125,Er1N1,1186.0,2.4,1.0
126,Er1Se2,1190.0,1.07,1.0
127,Er1Te1,1193.0,0.9,1.0
128,Er2O3,1188.0,3.26,1.0
129,Er2Se3,1191.0,1.66,1.0
130,Er2Te3,1194.0,0.9,1.0
131,Er3Te4,1192.0,0.9,1.0
132,Eu1N1,1137.0,1.25,1.0
133,Eu1O1,1139.0,1.122,1.0
134,Eu1S1,1147.0,1.645,1.0
135,Eu1Se1,1154.0,1.78,1.0
136,Eu1Te1,1160.0,1.959,1.0
137,Eu2O3,1141.0,1.7,1.0
138,Eu3As2,1153.0,0.6,1.0
139,Eu3O4,1140.0,0.6,1.0
140,Eu3P2,1146.0,1.2,1.0
141,Eu3S4,1148.0,0.163,1.0
142,Fe1As2,362.0,0.2,1.0
143,Fe1I2,371.0,5.15,1.0
144,Fe1P2,360.0,0.4,1.0
145,Fe1S2,361.0,1.2,1.0
146,Fe1Sb2,366.0,0.17,1.0
147,Fe1Sc2,364.0,0.77,1.0
148,Fe1Si1,357.0,0.1,1.0
149,Fe1Si2,356.0,0.9,1.0
150,Fe1Te2,369.0,0.46,1.0
151,Fe2O3,353.0,2.34,1.0
152,Fe2Te3,368.0,0.6,1.0
153,Ga1As1,511.0,1.42,1.0
154,Ga1Bi1,566.0,0.1,1.0
155,Ga1N1,486.0,3.24,1.0
156,Ga1P1,492.5,2.5,1.0
157,Ga1S1,499.0,2.5,1.0
158,Ga1Sb1,546.0,0.725,1.0
159,Ga1Se1,528.5,2.05,1.0
160,Ga1Te1,552.0,1.42,1.0
161,Ga2O3,490.0,4.54,1.0
162,Ga2S3,500.0,3.59,1.0
163,Ga2Se3,530.0,2.05,1.0
